year,GGV纪源资本,IDG资本,阿里巴巴,百度,高瓴VC,高瓴资本,红杉资本,经纬中国,启明创投,腾讯投资,真格基金,字节跳动
1998,0,2,0,0,0,0,0,0,0,0,0,0
1999,0,5,0,0,0,0,0,0,0,0,0,0
2000,0,6,1,0,0,0,0,0,0,0,0,0
2001,0,1,0,0,0,0,0,0,0,0,0,0
2002,0,2,0,0,0,0,1,0,0,0,0,0
2003,0,5,0,0,0,0,0,0,0,0,0,0
2004,5,6,0,0,0,0,0,0,0,0,0,0
2005,0,11,0,0,0,1,2,0,2,2,0,0
2006,3,13,0,0,0,0,10,2,1,1,0,0
2007,1,24,0,2,0,0,12,4,5,0,5,0
2008,3,18,2,1,0,0,9,7,10,2,0,0
2009,4,12,2,1,0,0,9,6,12,3,1,0
2010,5,22,5,4,0,1,24,12,14,6,4,0
2011,7,43,6,6,0,1,47,44,17,18,17,0
2012,6,27,7,4,0,0,24,35,19,30,35,0
2013,22,57,22,10,0,1,44,46,22,20,49,0
2014,33,155,41,14,0,11,139,112,39,73,99,0
2015,46,174,56,28,0,30,147,149,45,115,159,10
2016,42,119,52,26,0,25,81,99,49,112,168,10
2017,59,117,41,20,0,49,92,119,64,139,150,7
2018,64,149,68,27,0,72,155,118,65,162,159,10
2019,48,61,33,14,0,56,114,64,53,116,45,17
2020,53,65,23,13,73,68,147,85,52,159,41,26
2021,42,48,15,4,63,35,105,67,33,133,28,19
